City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Puerto Del Rosario,ES,2021-10-03 20:03:54,28.5004,-13.8627,73.15,78,20,18.41
68,Arman,RU,2021-10-03 20:03:54,59.7,150.1667,37.71,62,100,14.92
69,Carnarvon,AU,2021-10-03 20:00:45,-24.8667,113.6333,64.94,68,0,18.81
70,Watsa,CD,2021-10-03 19:59:11,3.0372,29.5355,64.87,95,95,1.66
71,Kysyl-Syr,RU,2021-10-03 20:03:45,63.8986,122.7617,27.0,76,100,2.89
72,Huarmey,PE,2021-10-03 20:02:35,-10.0681,-78.1522,68.05,73,82,12.73
73,Yorkton,CA,2021-10-03 20:00:31,51.2167,-102.4677,75.9,15,3,12.12
74,Nome,US,2021-10-03 20:03:02,64.5011,-165.4064,30.27,74,1,3.44
75,Kristiansund,NO,2021-10-03 20:03:55,63.1115,7.732,56.05,67,0,6.91
76,Moussoro,TD,2021-10-03 20:03:55,13.6408,16.4901,93.0,25,5,6.46
77,Luderitz,NA,2021-10-03 20:03:55,-26.6481,15.1594,59.72,51,89,23.78
78,La Ronge,CA,2021-10-03 20:03:09,55.1001,-105.2842,61.2,33,16,3.42
79,Uyskoye,RU,2021-10-03 20:03:56,54.3775,60.0047,29.34,84,29,5.82
80,Bredasdorp,ZA,2021-10-03 20:03:56,-34.5322,20.0403,49.28,78,39,1.95
81,Dikson,RU,2021-10-03 20:01:03,73.5069,80.5464,34.9,98,100,23.89
82,Avarua,CK,2021-10-03 20:03:56,-21.2078,-159.775,77.05,69,75,9.22
83,Tromso,NO,2021-10-03 20:03:56,69.6496,18.957,56.05,66,40,17.27
84,Camargo,MX,2021-10-03 20:03:56,27.6667,-105.1667,70.47,55,100,12.33
85,Torbay,CA,2021-10-03 20:03:20,47.6666,-52.7314,59.29,86,99,8.41
86,Krasnoselkup,RU,2021-10-03 20:03:20,65.7,82.4667,21.06,89,40,9.75
87,Goderich,CA,2021-10-03 20:01:31,43.7501,-81.7165,72.21,93,97,3.29
88,Tasiilaq,GL,2021-10-03 20:03:57,65.6145,-37.6368,35.76,54,0,5.41
89,Nanpiao,CN,2021-10-03 20:03:57,41.0982,120.7479,55.15,66,100,16.69
90,Koutiala,ML,2021-10-03 20:03:57,12.3917,-5.4642,84.15,51,20,5.88
91,Berbera,SO,2021-10-03 20:03:57,10.4396,45.0143,89.73,58,93,3.76
92,Barrow,US,2021-10-03 20:03:58,71.2906,-156.7887,30.22,86,90,13.8
93,Pitelino,RU,2021-10-03 20:03:58,54.5777,41.8145,45.21,70,100,4.59
94,Sao Felix Do Xingu,BR,2021-10-03 20:01:13,-6.6447,-51.995,87.51,52,100,4.5
95,Tura,IN,2021-10-03 20:03:22,25.5198,90.2201,71.31,98,95,4.23
96,Severo-Kurilsk,RU,2021-10-03 20:01:41,50.6789,156.125,47.34,79,68,36.89
97,Noshiro,JP,2021-10-03 20:03:58,40.2039,140.0242,59.52,79,11,5.3
98,Hamilton,US,2021-10-03 20:01:32,39.1834,-84.5333,71.62,91,90,1.01
99,Naze,JP,2021-10-03 20:03:58,28.3667,129.4833,77.22,63,0,19.48
100,Puqi,CN,2021-10-03 20:03:59,29.7167,113.8833,80.19,65,0,5.77
101,Clinton,US,2021-10-03 20:01:38,42.587,-82.9199,77.97,87,75,1.01
102,Murgud,IN,2021-10-03 20:03:59,16.4,74.2,75.52,85,84,0.92
103,Port Hardy,CA,2021-10-03 19:59:56,50.6996,-127.4199,55.58,58,40,4.61
104,Rauma,FI,2021-10-03 20:03:59,61.1272,21.5113,53.64,75,100,22.5
105,Avare,BR,2021-10-03 20:03:59,-23.0986,-48.9258,77.29,64,22,17.4
106,San Cristobal,VE,2021-10-03 20:00:58,7.7669,-72.225,82.65,52,28,6.13
107,Cape Town,ZA,2021-10-03 20:02:49,-33.9258,18.4232,57.09,59,2,18.34
108,Fasa,IR,2021-10-03 20:04:00,28.9383,53.6482,75.88,19,46,3.31
109,Warmbad,NA,2021-10-03 20:04:00,-28.45,18.7333,58.75,13,0,4.09
110,Plouzane,FR,2021-10-03 20:04:00,48.3833,-4.6167,55.58,85,0,11.5
111,Cururupu,BR,2021-10-03 20:03:14,-1.8283,-44.8683,82.42,68,100,5.97
112,Vanimo,PG,2021-10-03 20:04:01,-2.6741,141.3028,75.92,86,98,3.24
113,Arkadelphia,US,2021-10-03 20:04:01,34.1209,-93.0538,86.58,48,75,6.91
114,Nelson Bay,AU,2021-10-03 20:04:01,-32.7167,152.15,64.69,86,90,9.44
115,Saint-Gaudens,FR,2021-10-03 20:04:01,43.0833,0.6667,56.14,97,100,3.65
116,Chicama,PE,2021-10-03 20:04:02,-7.8447,-79.1469,63.14,62,38,11.36
117,Naberera,TZ,2021-10-03 20:04:02,-4.2,36.9333,65.84,63,72,7.83
118,Upernavik,GL,2021-10-03 20:00:57,72.7868,-56.1549,30.69,91,100,4.59
119,Port Keats,AU,2021-10-03 20:04:02,-14.25,129.55,79.29,85,86,5.66
120,Verkhniye Kigi,RU,2021-10-03 20:04:03,55.4083,58.6044,30.87,79,93,5.26
121,Majene,ID,2021-10-03 20:04:03,-3.5403,118.9707,76.8,89,100,4.23
122,Port Elizabeth,ZA,2021-10-03 20:01:57,-33.918,25.5701,56.1,73,4,7.99
123,Hithadhoo,MV,2021-10-03 20:01:35,-0.6,73.0833,83.07,76,86,17.43
124,General Roca,AR,2021-10-03 20:04:03,-39.0333,-67.5833,67.3,18,0,16.89
125,Thurso,GB,2021-10-03 20:00:30,58.5927,-3.5259,50.25,85,100,20.87
126,Dalby,AU,2021-10-03 20:04:03,-27.1833,151.2667,67.98,52,0,1.99
127,Ossora,RU,2021-10-03 20:04:04,59.2353,163.0719,42.51,96,100,36.19
