City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Pangnirtung,CA,66.1451,-65.7125,33.8,60,20,3.44,few clouds
171,Esfarayen,IR,37.0765,57.5101,47.86,15,0,5.37,clear sky
172,Kiama,AU,-34.6833,150.8667,59.25,81,48,5.95,scattered clouds
173,Souillac,MU,-20.5167,57.5167,73.36,77,85,14.81,overcast clouds
174,Nizhniy Baskunchak,RU,48.2198,46.8311,55.72,45,100,8.23,overcast clouds
175,Flinders,AU,-34.5833,150.8552,59.05,85,63,1.01,broken clouds
176,Avarua,CK,-21.2078,-159.775,75.25,88,75,6.91,broken clouds
177,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,90,9.22,overcast clouds
178,San Fernando,PH,15.0286,120.6898,81.14,89,49,3.94,scattered clouds
179,Jaciara,BR,-15.9653,-54.9683,89.69,47,55,2.71,moderate rain
180,College,US,64.8569,-147.8028,30.2,75,75,3.44,broken clouds
181,La Peca,PE,-5.6111,-78.435,85.48,46,99,3.8,light rain
182,Merritt,CA,50.1123,-120.7942,56.44,57,100,7.45,overcast clouds
183,Kruisfontein,ZA,-34.0033,24.7314,50.88,76,93,10.31,light rain
184,Rapid Valley,US,44.0625,-103.1463,78.6,22,1,5.01,clear sky
185,Ostrovnoy,RU,68.0531,39.5131,37.98,87,96,5.73,overcast clouds
186,Bairiki,KI,1.3292,172.9752,84.2,70,20,8.05,few clouds
187,Faanui,PF,-16.4833,-151.75,80.11,78,2,17.0,light rain
188,Westport,US,41.1415,-73.3579,64.45,54,20,1.99,few clouds
189,El Alto,PE,-4.2714,-81.2147,73.06,75,74,16.17,broken clouds
190,Pervomayskoye,RU,43.919,46.7102,61.77,80,100,6.82,overcast clouds
191,Jacareacanga,BR,-6.2222,-57.7528,76.78,91,95,1.05,overcast clouds
192,Pimentel,PE,-6.8367,-79.9342,70.09,64,0,21.85,clear sky
193,Areia Branca,BR,-4.9561,-37.1369,88.0,73,94,21.12,overcast clouds
194,Iquitos,PE,-3.7481,-73.2472,89.64,62,40,4.61,scattered clouds
195,Yerbogachen,RU,61.2767,108.0108,26.64,87,100,9.73,overcast clouds
196,Vagur,FO,61.4732,-6.8119,47.43,74,100,22.3,overcast clouds
197,Ryki,PL,51.6257,21.9327,49.28,46,100,8.28,overcast clouds
198,Waipawa,NZ,-41.4122,175.5153,58.46,72,5,18.12,clear sky
199,Stafford,GB,52.8052,-2.1164,59.52,73,77,7.18,broken clouds
200,Nguruka,TZ,-5.1092,31.0419,69.71,78,75,3.11,light rain
201,Tiksi,RU,71.6872,128.8694,9.82,89,100,8.84,overcast clouds
202,Sitka,US,57.0531,-135.33,44.49,57,40,4.61,scattered clouds
203,Longyearbyen,SJ,78.2186,15.6401,17.44,67,20,4.61,few clouds
204,Kilrush,IE,52.6397,-9.4833,60.55,93,100,9.04,overcast clouds
205,Zabaykalsk,RU,49.6333,117.3167,21.74,83,4,5.03,clear sky
206,Zasheyek,RU,67.4066,32.5499,33.4,83,98,7.63,overcast clouds
207,Batagay-Alyta,RU,67.8006,130.4114,-5.64,86,72,3.85,broken clouds
208,Victoria Point,AU,-27.5833,153.3,65.48,88,99,1.01,light rain
209,Barreiras,BR,-12.1528,-44.99,87.01,35,98,4.81,overcast clouds
210,Angouleme,FR,45.65,0.15,60.58,73,0,3.44,clear sky
211,Zhangye,CN,38.9342,100.4517,42.96,29,57,2.39,broken clouds
212,Saskylakh,RU,71.9167,114.0833,15.75,90,100,11.1,overcast clouds
213,Lunel,FR,43.6778,4.1361,60.01,88,85,2.3,overcast clouds
214,Mareeba,AU,-17.0,145.4333,70.45,96,60,2.48,broken clouds
215,Langxiang,CN,46.95,128.8833,22.37,49,100,1.68,light snow
216,Tchaourou,BJ,8.8865,2.5975,76.73,78,95,6.08,light rain
217,Goure,NE,13.9835,10.2704,86.02,28,5,3.29,clear sky
218,Vila,PT,42.0304,-8.1588,58.69,93,99,3.51,overcast clouds
219,Gornoye Loo,RU,43.7129,39.6049,63.79,83,100,5.32,overcast clouds
220,Rafai,CF,4.95,23.9167,70.12,97,62,1.39,light rain
221,Calvinia,ZA,-31.4707,19.776,49.91,38,0,4.97,clear sky
222,Bay Roberts,CA,47.5999,-53.2648,44.15,86,100,3.0,overcast clouds
223,Oussouye,SN,12.485,-16.5469,84.38,75,61,7.27,broken clouds
224,Puerto Del Rosario,ES,28.5004,-13.8627,74.88,94,0,8.05,clear sky
225,Alice Springs,AU,-23.7,133.8833,69.35,49,6,8.05,clear sky
226,Bijie,CN,27.3125,105.2942,48.78,94,100,2.39,overcast clouds
227,Isangel,VU,-19.55,169.2667,77.41,89,100,7.18,light rain
228,Balta,UA,47.9355,29.6198,43.48,72,59,5.64,broken clouds
229,Kjollefjord,NO,70.9457,27.3465,39.25,93,75,27.63,broken clouds
230,Mecca,SA,21.4267,39.8261,86.83,33,5,3.6,clear sky
231,Nome,US,64.5011,-165.4064,28.47,60,1,10.36,clear sky
232,Teguldet,RU,57.3064,88.1667,32.38,87,97,4.38,overcast clouds
233,Hobart,AU,-42.8794,147.3294,51.66,79,75,1.99,broken clouds
234,Coracora,PE,-15.0333,-73.7833,64.72,29,55,13.42,broken clouds
235,Talnakh,RU,69.4865,88.3972,34.27,100,100,6.38,light rain
236,Dingle,PH,10.9995,122.6711,75.97,92,14,5.84,few clouds
237,Saint-Pierre,RE,-21.3393,55.4781,71.24,78,0,2.3,clear sky
238,Evensk,RU,61.95,159.2333,12.65,74,100,17.22,overcast clouds
239,Xingcheng,CN,40.6167,120.7167,45.9,65,22,13.56,few clouds
240,Vostok,RU,46.4856,135.8833,15.42,75,9,5.39,clear sky
241,Noumea,NC,-22.2763,166.4572,78.01,99,3,5.46,clear sky
242,Aras,ES,42.5617,-2.356,59.05,82,90,1.14,overcast clouds
243,Kyra,RU,49.5776,111.9753,24.67,85,10,5.64,clear sky
244,Gaffney,US,35.0718,-81.6498,70.95,32,0,7.92,clear sky
245,Antofagasta,CL,-23.65,-70.4,66.22,56,36,9.82,scattered clouds
246,Kloulklubed,PW,7.0419,134.2556,84.16,74,95,10.16,overcast clouds
247,Kodinsk,RU,58.6881,99.1844,29.23,90,48,3.13,scattered clouds
248,Shimoda,JP,34.6667,138.95,52.11,70,94,21.05,overcast clouds
249,Viedma,AR,-40.8135,-62.9967,65.07,23,1,14.27,clear sky
250,Lake City,US,30.1897,-82.6393,78.55,38,1,6.91,clear sky
251,Saint-Raymond,CA,45.467,-73.6095,58.17,67,75,2.3,broken clouds
252,Levelland,US,33.5873,-102.378,72.19,15,86,14.23,overcast clouds
253,Vestmanna,FO,62.1564,-7.1664,43.72,93,90,19.57,overcast clouds
254,Cayenne,GF,4.9333,-52.3333,86.04,79,75,3.0,broken clouds
255,Ust-Nera,RU,64.5667,143.2,-4.86,99,92,4.07,overcast clouds
256,Saint-Georges,GD,12.0564,-61.7485,84.58,73,15,11.45,few clouds
257,Brae,GB,60.3964,-1.353,48.11,75,58,12.1,broken clouds
258,La Ronge,CA,55.1001,-105.2842,59.25,38,75,6.91,broken clouds
259,Haines Junction,CA,60.7522,-137.5108,22.95,74,61,1.14,broken clouds
260,Inverell,AU,-29.7833,151.1167,53.17,81,100,1.01,overcast clouds
261,Toamasina,MG,-18.1667,49.3833,68.0,94,40,0.0,scattered clouds
262,Butajira,ET,8.1167,38.3667,57.49,44,3,5.91,clear sky
263,Sembe,CG,1.6481,14.5806,72.27,94,100,2.19,overcast clouds
264,Sao Filipe,CV,14.8961,-24.4956,78.73,78,0,10.4,clear sky
265,Luena,AO,-11.7833,19.9167,67.6,68,53,3.36,broken clouds
266,Saint-Philippe,RE,-21.3585,55.7679,71.15,80,46,14.7,scattered clouds
267,Balikpapan,ID,-1.2675,116.8289,75.4,93,100,5.3,moderate rain
268,Rabo De Peixe,PT,37.8,-25.5833,71.11,94,75,9.22,broken clouds
269,Moussoro,TD,13.6408,16.4901,91.63,27,61,7.09,broken clouds
270,Carlagan,PH,14.975,122.0456,79.3,88,97,17.6,moderate rain
271,Saint-Joseph,RE,-21.3667,55.6167,70.16,78,20,12.06,few clouds
272,Nouadhibou,MR,20.931,-17.0347,73.69,66,0,17.45,clear sky
273,Kargasok,RU,59.0556,80.8572,39.07,90,100,5.93,overcast clouds
274,Lorengau,PG,-2.0226,147.2712,81.9,73,87,5.86,overcast clouds
275,Uspenka,UA,48.3903,39.1619,51.93,62,75,5.37,broken clouds
276,Kavieng,PG,-2.5744,150.7967,82.44,72,13,11.07,few clouds
277,Dayong,CN,25.0209,118.2898,71.89,76,11,3.42,light rain
278,Linhares,BR,-19.3911,-40.0722,77.47,75,90,6.78,overcast clouds
279,Mount Gambier,AU,-37.8333,140.7667,42.48,95,56,2.89,broken clouds
280,Beringovskiy,RU,63.05,179.3167,26.26,83,100,6.87,overcast clouds
281,Baykit,RU,61.67,96.37,36.61,92,100,3.27,overcast clouds
282,Mbandaka,CD,0.0487,18.2603,74.53,91,100,2.39,overcast clouds
283,Deputatskiy,RU,69.3,139.9,-14.21,99,52,3.02,broken clouds
284,Suntar,RU,62.1444,117.6319,22.98,70,100,7.25,overcast clouds
285,Katsuura,JP,35.1333,140.3,56.19,65,78,21.59,broken clouds
286,Tessalit,ML,20.1986,1.0114,87.46,10,0,7.76,clear sky
287,Araouane,ML,18.9048,-3.5265,88.3,10,2,8.99,clear sky
288,Malanje,AO,-9.5402,16.341,70.3,71,98,3.67,overcast clouds
289,Storforshei,NO,66.4043,14.5233,35.65,93,40,3.44,light snow
290,Mildura,AU,-34.2,142.15,53.56,62,100,4.61,light rain
291,Hamilton,US,39.1834,-84.5333,68.95,43,1,5.01,clear sky
292,Bethel,US,41.3712,-73.414,63.19,58,20,9.22,few clouds
293,Rovaniemi,FI,66.5,25.7167,36.81,93,90,12.66,light intensity shower rain
294,Klaksvik,FO,62.2266,-6.589,45.52,77,100,24.09,overcast clouds
295,Aykhal,RU,66.0,111.5,30.45,96,100,21.97,light snow
296,Rutul,RU,41.5357,47.4239,50.9,68,1,4.45,clear sky
297,Aklavik,CA,68.2191,-135.0107,20.23,73,17,11.27,few clouds
298,Mezen,RU,65.8522,44.24,36.09,97,100,9.24,overcast clouds
299,Ribeira Grande,PT,38.5167,-28.7,72.0,83,75,16.11,broken clouds
300,Algiers,DZ,36.7525,3.042,66.02,77,75,3.44,broken clouds
301,Navolato,MX,24.7672,-107.6944,94.64,56,0,6.64,clear sky
302,Seymchan,RU,62.8833,152.4333,8.67,74,38,9.64,scattered clouds
303,Berlevag,NO,70.8578,29.0864,39.15,81,75,27.63,broken clouds
304,Asau,RO,46.4333,26.4,45.95,85,72,3.42,light rain
305,Shingu,JP,33.7333,135.9833,52.95,78,28,4.34,scattered clouds
306,Mandalgovi,MN,45.7625,106.2708,27.79,55,5,11.41,clear sky
307,Kuryk,KZ,43.2,51.65,60.58,29,12,16.73,few clouds
308,Salalah,OM,17.0151,54.0924,78.89,89,40,3.44,scattered clouds
309,Tocopilla,CL,-22.092,-70.1979,66.79,62,21,9.51,few clouds
310,Hobyo,SO,5.3505,48.5268,78.37,84,100,22.21,overcast clouds
311,Eskil,TR,38.4017,33.4131,55.69,60,39,8.39,scattered clouds
312,Tacoronte,ES,28.4769,-16.4102,75.52,55,0,2.3,clear sky
313,Russell,US,32.3502,-85.1999,72.68,36,1,9.22,clear sky
314,Aden,YE,12.7794,45.0367,87.67,64,100,6.33,overcast clouds
315,Zhezkazgan,KZ,47.8043,67.7144,45.48,40,7,8.39,clear sky
316,Basar,IN,27.9833,94.6667,69.57,98,100,2.37,overcast clouds
317,Namibe,AO,-15.1961,12.1522,65.39,90,37,5.26,scattered clouds
318,Rabaul,PG,-4.1967,152.1721,79.75,81,89,4.88,overcast clouds
319,Nuevo Casas Grandes,MX,30.4167,-107.9167,80.74,29,6,5.01,clear sky
320,Jian,CN,27.1172,114.9793,52.7,77,98,6.42,light rain
321,Tres Arroyos,AR,-38.3739,-60.2798,62.06,42,89,13.58,overcast clouds
322,Zabol,AF,32.25,67.25,53.04,15,0,7.96,clear sky
323,Chuy,UY,-33.6971,-53.4616,60.94,53,2,8.72,clear sky
324,Paamiut,GL,61.994,-49.6678,34.84,51,0,4.65,clear sky
325,Roma,US,43.2128,-75.4557,53.65,89,90,1.01,heavy intensity rain
326,Caborca,MX,30.5838,-111.101,84.49,20,82,14.14,broken clouds
327,Mayo,US,38.8876,-76.5119,65.46,44,40,11.01,scattered clouds
328,Vysha,RU,53.8477,42.3777,41.67,80,40,4.32,scattered clouds
329,Luganville,VU,-15.5333,167.1667,80.53,83,87,7.45,overcast clouds
330,Llanes,ES,43.4198,-4.7549,65.89,79,100,6.11,overcast clouds
331,Lakes Entrance,AU,-37.8811,147.981,48.16,81,99,6.98,overcast clouds
332,Buraydah,SA,26.326,43.975,84.65,23,0,11.88,clear sky
333,Hofn,IS,64.2539,-15.2082,36.16,98,100,22.06,light rain
334,Owensboro,US,37.7742,-87.1133,71.02,32,1,11.5,clear sky
335,Lufilufi,WS,-13.8745,-171.5986,83.79,80,29,19.91,scattered clouds
336,Mount Isa,AU,-20.7333,139.5,62.37,48,4,5.75,light rain
337,Borger,NL,52.9233,6.7931,53.8,77,98,9.24,overcast clouds
338,El Reten,CO,10.6114,-74.2682,85.91,74,100,4.12,overcast clouds
339,Eyrarbakki,IS,63.863,-21.1481,41.05,90,100,24.7,moderate rain
340,Cherskiy,RU,68.75,161.3,-12.75,100,100,3.74,overcast clouds
341,Jumla,NP,29.2747,82.1838,56.84,81,100,4.56,overcast clouds
342,Qasigiannguit,GL,68.8193,-51.1922,19.65,63,0,9.98,clear sky
343,Lixourion,GR,38.2019,20.4314,64.33,69,13,2.35,few clouds
344,Carndonagh,IE,55.25,-7.2667,56.82,96,100,4.83,overcast clouds
345,Provideniya,RU,64.3833,-173.3,28.51,59,75,17.9,broken clouds
346,Verkhnyaya Inta,RU,65.9811,60.3094,37.45,87,100,13.09,overcast clouds
347,Bua Yai,TH,15.5855,102.4259,68.49,92,100,14.23,overcast clouds
348,Asyut,EG,27.181,31.1837,80.98,29,87,9.71,overcast clouds
